sample_index,timestamp,sensor_id,sensor_type,raw_value,reference_value,condition,gain,offset,drift_event
123,2026-09-22 10:15:00,C01,CO2,526.135,521.973,healthy,1.00001,4.95682,0
54,2026-09-22 04:30:00,H02,Humidity,53.677,52.607,healthy,1.00957,0.48704,0
154,2026-09-22 12:50:00,H02,Humidity,64.878,54.379,unhealthy,1.18595,0.55099,0
153,2026-09-22 12:45:00,T01,Temperature,24.116,23.889,healthy,0.9992,0.20436,0
23,2026-09-22 01:55:00,T02,Temperature,26.274,26.193,healthy,0.99555,0.20271,0
126,2026-09-22 10:30:00,C01,CO2,487.101,485.404,healthy,0.99599,5.23688,0
167,2026-09-22 13:55:00,H02,Humidity,67.347,57.223,unhealthy,1.16727,0.51426,0
7,2026-09-22 00:35:00,T02,Temperature,27.247,26.893,healthy,1.00529,0.18895,0
56,2026-09-22 04:40:00,H02,Humidity,52.33,51.883,healthy,1.00203,0.52181,0
34,2026-09-22 02:50:00,H01,Humidity,43.506,43.185,healthy,0.99813,0.51777,0
5,2026-09-22 00:25:00,C02,CO2,554.849,553.398,healthy,0.99368,5.17659,0
2,2026-09-22 00:10:00,T01,Temperature,25.515,25.234,healthy,1.00311,0.20031,0
175,2026-09-22 14:35:00,C01,CO2,606.589,601.098,healthy,1.00043,4.91132,0
127,2026-09-22 10:35:00,C01,CO2,494.431,495.299,healthy,0.98601,5.03884,0
186,2026-09-22 15:30:00,C01,CO2,489.138,489.404,healthy,0.98992,5.01791,0
166,2026-09-22 13:50:00,H01,Humidity,53.198,52.744,healthy,1.00052,0.49223,0
66,2026-09-22 05:30:00,H01,Humidity,51.016,50.809,healthy,0.99522,0.5054,0
114,2026-09-22 09:30:00,C02,CO2,563.833,521.174,warning,1.07083,5.19254,0
31,2026-09-22 02:35:00,H02,Humidity,42.658,42.346,healthy,0.9988,0.48429,0
86,2026-09-22 07:10:00,T01,Temperature,24.074,23.749,healthy,1.00616,0.19705,0
186,2026-09-22 15:30:00,H01,Humidity,58.909,57.972,healthy,1.00779,0.48641,0
50,2026-09-22 04:10:00,H01,Humidity,43.815,43.259,healthy,1.00677,0.48176,0
15,2026-09-22 01:15:00,H01,Humidity,52.364,52.448,healthy,0.99073,0.49749,0
45,2026-09-22 03:45:00,T02,Temperature,23.271,23.283,healthy,0.99078,0.19519,0
169,2026-09-22 14:05:00,H01,Humidity,55.862,54.599,healthy,1.01196,0.51025,0
190,2026-09-22 15:50:00,T02,Temperature,33.132,26.618,unhealthy,1.23564,0.21805,0
121,2026-09-22 10:05:00,C02,CO2,560.764,515.219,warning,1.07233,5.58811,0
16,2026-09-22 01:20:00,H02,Humidity,43.815,43.777,healthy,0.98791,0.49584,0
153,2026-09-22 12:45:00,C01,CO2,789.597,779.264,healthy,1.00583,4.93176,0
37,2026-09-22 03:05:00,H02,Humidity,44.664,44.168,healthy,1.00148,0.50904,0
177,2026-09-22 14:45:00,T01,Temperature,23.377,23.13,healthy,1.00065,0.20943,0
3,2026-09-22 00:15:00,H02,Humidity,51.366,50.689,healthy,0.99829,0.51325,0
94,2026-09-22 07:50:00,T02,Temperature,27.971,26.641,warning,1.04225,0.2032,0
65,2026-09-22 05:25:00,T01,Temperature,23.727,23.359,healthy,1.00711,0.19651,0
108,2026-09-22 09:00:00,H02,Humidity,48.823,45.553,warning,1.06921,0.47587,0
118,2026-09-22 09:50:00,H01,Humidity,48.935,47.762,healthy,1.01006,0.48739,0
197,2026-09-22 16:25:00,H02,Humidity,61.287,48.115,unhealthy,1.2647,0.46874,0
15,2026-09-22 01:15:00,C02,CO2,693.878,688.895,healthy,1.00183,4.92534,0
20,2026-09-22 01:40:00,C02,CO2,766.676,759.809,healthy,1.0017,4.97292,0
43,2026-09-22 03:35:00,C02,CO2,651.782,644.691,healthy,1.0008,5.07608,0
88,2026-09-22 07:20:00,T01,Temperature,24.235,23.873,healthy,1.00865,0.20396,0
67,2026-09-22 05:35:00,H01,Humidity,51.394,50.676,healthy,1.00805,0.48795,0
189,2026-09-22 15:45:00,H02,Humidity,65.691,52.542,unhealthy,1.24311,0.52483,0
1,2026-09-22 00:05:00,C01,CO2,533.944,532.583,healthy,0.99349,4.90733,0
35,2026-09-22 02:55:00,C01,CO2,806.169,800.701,healthy,1.00353,4.89297,0
186,2026-09-22 15:30:00,T02,Temperature,31.826,25.83,unhealthy,1.22575,0.16715,0
105,2026-09-22 08:45:00,T02,Temperature,29.094,26.67,warning,1.08364,0.22554,0
129,2026-09-22 10:45:00,T01,Temperature,26.946,26.501,healthy,1.00733,0.20152,0
196,2026-09-22 16:20:00,H01,Humidity,58.072,57.599,healthy,0.9976,0.47476,0
93,2026-09-22 07:45:00,C01,CO2,800.939,788.972,healthy,1.00809,5.18663,0
193,2026-09-22 16:05:00,H01,Humidity,57.99,57.728,healthy,0.99718,0.51418,0
25,2026-09-22 02:05:00,H02,Humidity,42.938,42.658,healthy,0.99114,0.49441,0
158,2026-09-22 13:10:00,H01,Humidity,49.3,49.25,healthy,0.99589,0.52278,0
114,2026-09-22 09:30:00,H02,Humidity,45.964,43.252,warning,1.05388,0.38307,0
25,2026-09-22 02:05:00,T01,Temperature,27.5,27.228,healthy,1.00178,0.1988,0
95,2026-09-22 07:55:00,T02,Temperature,28.121,26.648,warning,1.04915,0.19521,0
107,2026-09-22 08:55:00,T01,Temperature,26.255,26.301,healthy,0.99143,0.19673,0
168,2026-09-22 14:00:00,C02,CO2,733.65,572.405,unhealthy,1.27384,4.81661,0
188,2026-09-22 15:40:00,C01,CO2,514.782,511.425,healthy,0.99422,4.99454,0
9,2026-09-22 00:45:00,C02,CO2,599.601,594.623,healthy,1.00156,4.92071,0
195,2026-09-22 16:15:00,C02,CO2,924.183,696.913,unhealthy,1.31658,5.17369,0
53,2026-09-22 04:25:00,T02,Temperature,23.017,22.942,healthy,0.99576,0.20201,0
37,2026-09-22 03:05:00,H01,Humidity,43.242,42.53,healthy,1.00305,0.50027,0
51,2026-09-22 04:15:00,C02,CO2,530.652,527.235,healthy,0.9972,5.06506,0
66,2026-09-22 05:30:00,T02,Temperature,23.588,23.167,healthy,1.00996,0.195,0
89,2026-09-22 07:25:00,H01,Humidity,58.796,58.228,healthy,1.00185,0.49567,0
28,2026-09-22 02:20:00,H02,Humidity,41.9,41.475,healthy,0.99693,0.48248,0
3,2026-09-22 00:15:00,C01,CO2,522.478,514.717,healthy,1.00129,5.2355,0
16,2026-09-22 01:20:00,C02,CO2,719.333,715.155,healthy,0.99865,4.86485,0
165,2026-09-22 13:45:00,H01,Humidity,52.141,51.874,healthy,0.99616,0.47395,0
80,2026-09-22 06:40:00,H02,Humidity,61.135,57.04,warning,1.05964,0.58638,0
41,2026-09-22 03:25:00,C01,CO2,785.801,782.144,healthy,0.99927,5.12883,0
81,2026-09-22 06:45:00,H01,Humidity,57.009,56.797,healthy,0.99293,0.51035,0
146,2026-09-22 12:10:00,T01,Temperature,25.038,24.642,healthy,1.00876,0.20453,0
155,2026-09-22 12:55:00,C02,CO2,971.905,757.4,unhealthy,1.27932,5.13842,0
146,2026-09-22 12:10:00,C01,CO2,724.776,717.999,healthy,1.00504,4.94592,0
29,2026-09-22 02:25:00,C02,CO2,790.947,780.683,healthy,1.006,5.00376,0
180,2026-09-22 15:00:00,C01,CO2,528.803,523.644,healthy,0.99911,5.04462,0
169,2026-09-22 14:05:00,C01,CO2,704.579,703.419,healthy,0.99417,4.84583,0
134,2026-09-22 11:10:00,H01,Humidity,43.488,42.899,healthy,1.00183,0.48994,0
130,2026-09-22 10:50:00,H02,Humidity,48.154,42.088,unhealthy,1.13157,0.45231,0
42,2026-09-22 03:30:00,T01,Temperature,25.688,25.768,healthy,0.98951,0.20062,0
124,2026-09-22 10:20:00,T01,Temperature,27.06,26.784,healthy,1.001,0.20914,0
70,2026-09-22 05:50:00,H02,Humidity,62.015,57.146,warning,1.07723,0.52073,0
175,2026-09-22 14:35:00,H02,Humidity,74.195,58.079,unhealthy,1.27006,0.46766,0
114,2026-09-22 09:30:00,C01,CO2,620.643,618.404,healthy,0.99588,4.8821,0
133,2026-09-22 11:05:00,T02,Temperature,26.632,24.201,warning,1.09189,0.20823,0
110,2026-09-22 09:10:00,C01,CO2,688.35,684.183,healthy,0.9999,4.84305,0
87,2026-09-22 07:15:00,T02,Temperature,27.91,25.749,warning,1.07588,0.19255,0
168,2026-09-22 14:00:00,T02,Temperature,28.897,24.098,unhealthy,1.19011,0.2299,0
144,2026-09-22 12:00:00,T01,Temperature,25.194,24.92,healthy,1.0027,0.2088,0
164,2026-09-22 13:40:00,H02,Humidity,70.644,57.264,unhealthy,1.22434,0.49775,0
137,2026-09-22 11:25:00,C02,CO2,924.795,715.171,unhealthy,1.28465,5.07389,0
62,2026-09-22 05:10:00,T02,Temperature,23.811,23.404,healthy,1.00981,0.2062,0
188,2026-09-22 15:40:00,H01,Humidity,58.898,58.047,healthy,1.00332,0.49119,0
178,2026-09-22 14:50:00,H02,Humidity,70.187,57.548,unhealthy,1.21155,0.55012,0
41,2026-09-22 03:25:00,C02,CO2,664.442,658.786,healthy,0.99956,5.01776,0
5,2026-09-22 00:25:00,H01,Humidity,56.641,56.25,healthy,0.99756,0.4772,0
120,2026-09-22 10:00:00,C01,CO2,526.831,524.076,healthy,0.99743,5.04648,0
104,2026-09-22 08:40:00,H01,Humidity,54.738,53.977,healthy,0.99939,0.48617,0
106,2026-09-22 08:50:00,H02,Humidity,48.513,45.978,warning,1.04904,0.54346,0
172,2026-09-22 14:20:00,T01,Temperature,22.988,22.981,healthy,0.99254,0.20676,0
24,2026-09-22 02:00:00,T02,Temperature,25.805,25.912,healthy,0.98934,0.19045,0
73,2026-09-22 06:05:00,C02,CO2,657.613,649.828,healthy,1.00152,4.84047,0
195,2026-09-22 16:15:00,C01,CO2,562.035,559.992,healthy,0.99888,4.93829,0
148,2026-09-22 12:20:00,H01,Humidity,42.705,42.878,healthy,0.98463,0.51252,0
76,2026-09-22 06:20:00,H01,Humidity,55.105,54.801,healthy,0.9983,0.53472,0
87,2026-09-22 07:15:00,C02,CO2,867.308,791.759,warning,1.08924,5.01254,0
2,2026-09-22 00:10:00,C02,CO2,523.481,523.349,healthy,0.99294,5.06751,0
30,2026-09-22 02:30:00,T01,Temperature,27.106,26.957,healthy,0.99756,0.18328,0
3,2026-09-22 00:15:00,T01,Temperature,25.64,25.398,healthy,1.00134,0.20658,0
143,2026-09-22 11:55:00,T01,Temperature,25.472,25.22,healthy,1.00237,0.19424,0
154,2026-09-22 12:50:00,T01,Temperature,23.886,23.84,healthy,0.99341,0.20325,0
136,2026-09-22 11:20:00,T01,Temperature,26.4,26.122,healthy,1.00278,0.21281,0
48,2026-09-22 04:00:00,H02,Humidity,49.458,49.445,healthy,0.9943,0.50352,0
118,2026-09-22 09:50:00,C01,CO2,570.653,566.996,healthy,0.99787,4.88949,0
77,2026-09-22 06:25:00,T01,Temperature,24.028,23.617,healthy,1.00955,0.199,0
22,2026-09-22 01:50:00,T01,Temperature,27.25,26.859,healthy,1.00579,0.20582,0
99,2026-09-22 08:15:00,T02,Temperature,28.929,26.892,warning,1.06715,0.20836,0
18,2026-09-22 01:30:00,C01,CO2,597.228,595.793,healthy,0.99364,5.0741,0
169,2026-09-22 14:05:00,C02,CO2,698.713,543.672,unhealthy,1.27885,4.8061,0
193,2026-09-22 16:05:00,C01,CO2,530.87,530.354,healthy,0.98998,5.05603,0
5,2026-09-22 00:25:00,C01,CO2,490.818,493.533,healthy,0.98881,4.98572,0
11,2026-09-22 00:55:00,H02,Humidity,45.99,45.641,healthy,0.99732,0.50065,0
6,2026-09-22 00:30:00,H02,Humidity,49.656,48.948,healthy,1.00643,0.48752,0
13,2026-09-22 01:05:00,T02,Temperature,27.306,26.931,healthy,1.00649,0.20312,0
171,2026-09-22 14:15:00,C02,CO2,708.382,535.625,unhealthy,1.31292,5.40833,0
122,2026-09-22 10:10:00,C02,CO2,552.775,510.416,warning,1.07572,5.26083,0
121,2026-09-22 10:05:00,C01,CO2,527.662,525.44,healthy,0.99298,5.05101,0
12,2026-09-22 01:00:00,H01,Humidity,54.755,53.987,healthy,1.00432,0.50592,0
140,2026-09-22 11:40:00,T01,Temperature,25.853,25.612,healthy,1.00233,0.1992,0
82,2026-09-22 06:50:00,H02,Humidity,62.477,57.498,warning,1.08125,0.44545,0
144,2026-09-22 12:00:00,H01,Humidity,43.008,42.428,healthy,1.00117,0.50998,0
11,2026-09-22 00:55:00,C02,CO2,617.208,615.376,healthy,0.99683,4.99633,0
75,2026-09-22 06:15:00,H02,Humidity,61.944,57.799,warning,1.05906,0.52775,0
0,2026-09-22 00:00:00,C01,CO2,540.656,538.323,healthy,0.99555,5.0947,0
139,2026-09-22 11:35:00,C02,CO2,938.285,743.012,unhealthy,1.25798,5.00377,0
184,2026-09-22 15:20:00,C02,CO2,673.475,530.718,unhealthy,1.25866,5.39268,0
88,2026-09-22 07:20:00,C02,CO2,883.758,801.085,warning,1.09363,5.1309,0
100,2026-09-22 08:20:00,C02,CO2,724.257,678.533,warning,1.05748,5.12278,0
184,2026-09-22 15:20:00,C01,CO2,507.215,498.435,healthy,1.00435,5.10013,0
96,2026-09-22 08:00:00,C02,CO2,789.457,732.934,warning,1.07039,4.95745,0
64,2026-09-22 05:20:00,C02,CO2,529.249,524.164,healthy,0.99725,5.3017,0
18,2026-09-22 01:30:00,T01,Temperature,27.496,27.088,healthy,1.00823,0.18002,0
10,2026-09-22 00:50:00,C02,CO2,632.437,630.804,healthy,0.99704,5.00061,0
55,2026-09-22 04:35:00,C02,CO2,492.258,489.069,healthy,0.9945,4.93942,0
57,2026-09-22 04:45:00,C01,CO2,576.775,573.077,healthy,0.99854,5.08902,0
100,2026-09-22 08:20:00,H01,Humidity,55.361,55.116,healthy,1.00044,0.50894,0
78,2026-09-22 06:30:00,H01,Humidity,55.731,55.857,healthy,0.99178,0.46808,0
18,2026-09-22 01:30:00,H02,Humidity,42.751,42.589,healthy,0.98932,0.50194,0
187,2026-09-22 15:35:00,C01,CO2,486.123,489.048,healthy,0.99046,4.89372,0
116,2026-09-22 09:40:00,H02,Humidity,46.455,43.088,warning,1.06928,0.52771,0
187,2026-09-22 15:35:00,C02,CO2,720.4,562.504,unhealthy,1.26974,5.69602,0
54,2026-09-22 04:30:00,T02,Temperature,23.024,22.812,healthy,1.0012,0.19906,0
25,2026-09-22 02:05:00,T02,Temperature,26.403,26.256,healthy,0.99826,0.19541,0
95,2026-09-22 07:55:00,H01,Humidity,58.242,57.489,healthy,1.00274,0.50208,0
165,2026-09-22 13:45:00,C02,CO2,747.677,621.216,unhealthy,1.19593,4.97027,0
99,2026-09-22 08:15:00,T01,Temperature,25.405,25.437,healthy,0.99139,0.19402,0
86,2026-09-22 07:10:00,C01,CO2,710.71,700.751,healthy,1.00361,5.09805,0
59,2026-09-22 04:55:00,T02,Temperature,23.751,23.396,healthy,1.00555,0.20275,0
113,2026-09-22 09:25:00,T01,Temperature,27.078,27.053,healthy,0.99389,0.20285,0
38,2026-09-22 03:10:00,H02,Humidity,44.879,44.022,healthy,1.00526,0.49806,0
14,2026-09-22 01:10:00,T02,Temperature,27.279,26.928,healthy,1.00464,0.19902,0
199,2026-09-22 16:35:00,C02,CO2,994.407,749.748,unhealthy,1.31957,4.6381,0
135,2026-09-22 11:15:00,C01,CO2,559.22,555.65,healthy,0.99581,5.27126,0
56,2026-09-22 04:40:00,H01,Humidity,46.108,45.356,healthy,1.0088,0.49387,0
52,2026-09-22 04:20:00,C01,CO2,647.93,641.656,healthy,1.00351,4.9587,0
71,2026-09-22 05:55:00,C02,CO2,634.436,632.923,healthy,0.99562,4.90527,0
143,2026-09-22 11:55:00,T02,Temperature,25.235,23.574,warning,1.06157,0.19426,0
95,2026-09-22 07:55:00,C02,CO2,817.694,751.995,warning,1.08043,5.06575,0
47,2026-09-22 03:55:00,C01,CO2,738.815,725.19,healthy,1.00954,5.08313,0
68,2026-09-22 05:40:00,H02,Humidity,61.64,57.569,warning,1.0647,0.49232,0
150,2026-09-22 12:30:00,T02,Temperature,25.357,23.167,warning,1.08786,0.16389,0
174,2026-09-22 14:30:00,H02,Humidity,74.413,58.484,unhealthy,1.26417,0.45533,0
119,2026-09-22 09:55:00,H02,Humidity,46.375,41.928,warning,1.09724,0.49057,0
171,2026-09-22 14:15:00,T01,Temperature,23.016,22.968,healthy,0.99395,0.19209,0
76,2026-09-22 06:20:00,H02,Humidity,61.45,57.393,warning,1.05995,0.49989,0
78,2026-09-22 06:30:00,H02,Humidity,61.787,58.212,warning,1.0505,0.50832,0
57,2026-09-22 04:45:00,T01,Temperature,23.923,23.809,healthy,0.99604,0.2003,0
50,2026-09-22 04:10:00,T01,Temperature,24.536,24.542,healthy,0.99115,0.1798,0
152,2026-09-22 12:40:00,T01,Temperature,24.016,23.916,healthy,0.99574,0.19623,0
36,2026-09-22 03:00:00,T02,Temperature,24.551,24.443,healthy,0.99611,0.19439,0
131,2026-09-22 10:55:00,T01,Temperature,26.992,26.568,healthy,1.00781,0.19651,0
99,2026-09-22 08:15:00,H01,Humidity,55.877,55.851,healthy,0.99234,0.48856,0
16,2026-09-22 01:20:00,T01,Temperature,27.37,26.935,healthy,1.00907,0.19406,0
72,2026-09-22 06:00:00,T02,Temperature,24.238,23.937,healthy,1.00399,0.20544,0
33,2026-09-22 02:45:00,T02,Temperature,25.085,25.134,healthy,0.99085,0.19775,0
171,2026-09-22 14:15:00,C01,CO2,676.664,666.08,healthy,1.01009,5.33816,0
109,2026-09-22 09:05:00,H02,Humidity,47.347,44.667,warning,1.0509,0.53864,0
57,2026-09-22 04:45:00,T02,Temperature,23.346,23.033,healthy,1.00461,0.19705,0
198,2026-09-22 16:30:00,H01,Humidity,55.356,54.831,healthy,1.0019,0.49487,0
64,2026-09-22 05:20:00,C01,CO2,497.837,495.85,healthy,0.99454,5.04096,0
118,2026-09-22 09:50:00,H02,Humidity,46.573,42.331,warning,1.08245,0.53175,0
158,2026-09-22 13:10:00,T01,Temperature,23.672,23.446,healthy,1.00084,0.19425,0
48,2026-09-22 04:00:00,T01,Temperature,25.163,25.073,healthy,0.99541,0.19807,0
171,2026-09-22 14:15:00,H02,Humidity,69.91,58.063,unhealthy,1.19287,0.47894,0
61,2026-09-22 05:05:00,C01,CO2,518.471,517.565,healthy,0.99578,5.03504,0
20,2026-09-22 01:40:00,T01,Temperature,27.445,27.179,healthy,1.00262,0.19564,0
176,2026-09-22 14:40:00,T02,Temperature,31.005,24.724,unhealthy,1.24378,0.24009,0
100,2026-09-22 08:20:00,T02,Temperature,29.408,27.036,warning,1.08218,0.17817,0
151,2026-09-22 12:35:00,T02,Temperature,24.489,22.974,warning,1.05726,0.19404,0
180,2026-09-22 15:00:00,C02,CO2,639.618,503.539,unhealthy,1.25656,6.68238,0
141,2026-09-22 11:45:00,C02,CO2,998.686,772.321,unhealthy,1.28436,5.40812,0
165,2026-09-22 13:45:00,T02,Temperature,28.099,23.218,unhealthy,1.20204,0.19447,0
85,2026-09-22 07:05:00,H02,Humidity,61.581,56.554,warning,1.07967,0.51575,0
89,2026-09-22 07:25:00,C01,CO2,763.405,757.109,healthy,1.00537,5.0189,0
28,2026-09-22 02:20:00,H01,Humidity,44.383,44.133,healthy,0.99804,0.50525,0
102,2026-09-22 08:30:00,T01,Temperature,25.859,25.661,healthy,1.00001,0.19487,0
139,2026-09-22 11:35:00,H01,Humidity,41.879,41.947,healthy,0.99014,0.50456,0
178,2026-09-22 14:50:00,T02,Temperature,31.12,25.489,unhealthy,1.21253,0.21379,0
7,2026-09-22 00:35:00,H01,Humidity,56.161,55.249,healthy,1.00895,0.51586,0
190,2026-09-22 15:50:00,H01,Humidity,56.963,56.348,healthy,1.00426,0.46508,0
21,2026-09-22 01:45:00,C02,CO2,790.225,775.459,healthy,1.0123,4.59673,0
34,2026-09-22 02:50:00,T02,Temperature,24.51,24.57,healthy,0.98962,0.19932,0
159,2026-09-22 13:15:00,H02,Humidity,68.103,56.36,unhealthy,1.20022,0.4941,0
17,2026-09-22 01:25:00,T01,Temperature,27.3,26.885,healthy,1.00858,0.19747,0
107,2026-09-22 08:55:00,T02,Temperature,28.884,26.802,warning,1.06997,0.201,0
20,2026-09-22 01:40:00,H01,Humidity,49.23,49.031,healthy,0.99263,0.51011,0
53,2026-09-22 04:25:00,H02,Humidity,50.903,50.203,healthy,1.00336,0.52967,0
197,2026-09-22 16:25:00,T02,Temperature,32.506,26.797,unhealthy,1.20235,0.29077,0
102,2026-09-22 08:30:00,H01,Humidity,56.596,55.854,healthy,1.0023,0.49677,0
162,2026-09-22 13:30:00,H01,Humidity,50.319,49.898,healthy,1.00014,0.50314,0
103,2026-09-22 08:35:00,H02,Humidity,52.018,48.569,warning,1.06331,0.47642,0
55,2026-09-22 04:35:00,H02,Humidity,52.707,52.417,healthy,0.99456,0.51522,0
75,2026-09-22 06:15:00,C02,CO2,738.393,691.012,warning,1.05883,5.19218,0
69,2026-09-22 05:45:00,T02,Temperature,23.606,23.364,healthy,1.00121,0.2002,0
23,2026-09-22 01:55:00,T01,Temperature,27.278,26.83,healthy,1.00838,0.20571,0
176,2026-09-22 14:40:00,H01,Humidity,58.535,57.095,healthy,1.01839,0.50035,0
188,2026-09-22 15:40:00,T01,Temperature,24.689,24.265,healthy,1.01006,0.19662,0
183,2026-09-22 15:15:00,C01,CO2,527.688,524.647,healthy,0.99431,5.03516,0
43,2026-09-22 03:35:00,H02,Humidity,47.887,46.9,healthy,1.01104,0.51628,0
7,2026-09-22 00:35:00,T01,Temperature,25.992,25.823,healthy,0.99972,0.20069,0
179,2026-09-22 14:55:00,H01,Humidity,57.647,56.974,healthy,0.99971,0.50066,0
161,2026-09-22 13:25:00,C01,CO2,792.726,781.233,healthy,1.00562,5.29979,0
15,2026-09-22 01:15:00,T02,Temperature,27.367,27.007,healthy,1.00708,0.1905,0
109,2026-09-22 09:05:00,T01,Temperature,26.606,26.537,healthy,0.99464,0.20385,0
19,2026-09-22 01:35:00,T02,Temperature,26.609,26.443,healthy,0.99961,0.20455,0
132,2026-09-22 11:00:00,T02,Temperature,26.197,24.523,warning,1.06092,0.19285,0
8,2026-09-22 00:40:00,H01,Humidity,54.726,54.55,healthy,0.99622,0.50288,0
3,2026-09-22 00:15:00,T02,Temperature,27.042,26.683,healthy,1.00653,0.19161,0
187,2026-09-22 15:35:00,H02,Humidity,66.465,53.97,unhealthy,1.22334,0.46749,0
79,2026-09-22 06:35:00,H02,Humidity,61.53,57.309,warning,1.0673,0.49296,0
27,2026-09-22 02:15:00,T01,Temperature,27.589,27.408,healthy,0.99992,0.20902,0
30,2026-09-22 02:30:00,T02,Temperature,25.667,25.494,healthy,0.998,0.20093,0
117,2026-09-22 09:45:00,T02,Temperature,28.376,26.414,warning,1.06777,0.1852,0
66,2026-09-22 05:30:00,H02,Humidity,58.392,57.625,healthy,1.00294,0.49247,0
17,2026-09-22 01:25:00,H02,Humidity,42.928,42.826,healthy,0.99587,0.52776,0
47,2026-09-22 03:55:00,C02,CO2,577.813,575.721,healthy,0.99456,5.12212,0
74,2026-09-22 06:10:00,T01,Temperature,23.359,22.989,healthy,1.00856,0.19759,0
46,2026-09-22 03:50:00,T01,Temperature,25.284,25.267,healthy,0.99171,0.19916,0
196,2026-09-22 16:20:00,T01,Temperature,25.659,25.435,healthy,1.00165,0.19569,0
115,2026-09-22 09:35:00,H01,Humidity,50.409,50.035,healthy,0.99696,0.49231,0
198,2026-09-22 16:30:00,C02,CO2,949.447,727.964,unhealthy,1.29582,5.57404,0
126,2026-09-22 10:30:00,T01,Temperature,27.526,27.203,healthy,1.00509,0.19292,0
14,2026-09-22 01:10:00,C02,CO2,681.207,674.543,healthy,1.0007,5.017,0
196,2026-09-22 16:20:00,T02,Temperature,32.917,26.857,unhealthy,1.21711,0.21792,0
64,2026-09-22 05:20:00,T01,Temperature,23.464,23.265,healthy,0.99985,0.20294,0
8,2026-09-22 00:40:00,C02,CO2,592.684,585.791,healthy,0.99826,5.12451,0
88,2026-09-22 07:20:00,C01,CO2,749.613,742.123,healthy,1.00077,5.09867,0
142,2026-09-22 11:50:00,C01,CO2,649.111,643.521,healthy,1.00409,4.80612,0
103,2026-09-22 08:35:00,C01,CO2,779.934,776.166,healthy,0.99913,4.90902,0
156,2026-09-22 13:00:00,C02,CO2,895.875,717.08,unhealthy,1.24363,4.6564,0
152,2026-09-22 12:40:00,H01,Humidity,44.876,44.441,healthy,1.00009,0.48121,0
196,2026-09-22 16:20:00,C01,CO2,562.603,563.279,healthy,0.98981,5.03466,0
172,2026-09-22 14:20:00,T02,Temperature,30.319,24.421,unhealthy,1.23359,0.20467,0
105,2026-09-22 08:45:00,C01,CO2,763.296,756.721,healthy,1.0034,4.99649,0
62,2026-09-22 05:10:00,T01,Temperature,23.453,23.217,healthy,1.00102,0.20421,0
